time(millisecond),normalised_active_and_passive_force/SL(micrometre),Ca_binding_to_troponin_to_thin_filament_regulation/TRPNCaL(dimensionless),Ca_binding_to_troponin_to_thin_filament_regulation/TRPNCaH(dimensionless),mean_strain_of_strongly_bound_states/xXBpostr(micrometre),mean_strain_of_strongly_bound_states/xXBprer(micrometre),regulation_and_crossbridge_cycling_state_equations/XBpostr(dimensionless),regulation_and_crossbridge_cycling_state_equations/XBprer(dimensionless),regulation_and_crossbridge_cycling_state_equations/N_NoXB(dimensionless),regulation_and_crossbridge_cycling_state_equations/P_NoXB(dimensionless),regulation_and_crossbridge_cycling_state_equations/N(dimensionless),normalised_active_and_passive_force/intf(unit_normalised_force_millisecond),normalised_active_and_passive_force/SL',Ca_binding_to_troponin_to_thin_filament_regulation/TRPNCaL',Ca_binding_to_troponin_to_thin_filament_regulation/TRPNCaH',mean_strain_of_strongly_bound_states/xXBpostr',mean_strain_of_strongly_bound_states/xXBprer',regulation_and_crossbridge_cycling_state_equations/XBpostr',regulation_and_crossbridge_cycling_state_equations/XBprer',regulation_and_crossbridge_cycling_state_equations/N_NoXB',regulation_and_crossbridge_cycling_state_equations/P_NoXB',regulation_and_crossbridge_cycling_state_equations/N',normalised_active_and_passive_force/intf',sarcomere_geometry/sovr_ze(micrometre),sarcomere_geometry/sovr_cle(micrometre),sarcomere_geometry/len_sovr(micrometre),sarcomere_geometry/SOVFThick(dimensionless),sarcomere_geometry/SOVFThin(dimensionless),normalised_active_and_passive_force/force(millinewton_micrometre_per_millimetre2),Ca_binding_to_troponin_to_thin_filament_regulation/Tropreg(dimensionless),normalised_active_and_passive_force/active(unit_normalised_force),Ca_binding_to_troponin_to_thin_filament_regulation/permtot(dimensionless),normalised_active_and_passive_force/ppforce_t(unit_normalised_force),Ca_binding_to_troponin_to_thin_filament_regulation/kn_pT(first_order_rate_constant),normalised_active_and_passive_force/ppforce_c(unit_normalised_force),Ca_binding_to_troponin_to_thin_filament_regulation/inprmt(dimensionless),normalised_active_and_passive_force/ppforce(unit_normalised_force),Ca_binding_to_troponin_to_thin_filament_regulation/kp_nT(first_order_rate_constant),normalised_active_and_passive_force/afterload(unit_normalised_force),thin_filament_regulation_and_crossbridge_cycling_rates/gapslmd(dimensionless),thin_filament_regulation_and_crossbridge_cycling_rates/gappT(first_order_rate_constant),thin_filament_regulation_and_crossbridge_cycling_rates/hfmd(dimensionless),thin_filament_regulation_and_crossbridge_cycling_rates/hbmd(dimensionless),thin_filament_regulation_and_crossbridge_cycling_rates/hfT(first_order_rate_constant),thin_filament_regulation_and_crossbridge_cycling_rates/hbT(first_order_rate_constant),thin_filament_regulation_and_crossbridge_cycling_rates/gxbmd(dimensionless),thin_filament_regulation_and_crossbridge_cycling_rates/gxbT(first_order_rate_constant),regulation_and_crossbridge_cycling_state_equations/dXBpostr(first_order_rate_constant),regulation_and_crossbridge_cycling_state_equations/P(dimensionless),regulation_and_crossbridge_cycling_state_equations/dXBprer(first_order_rate_constant),mean_strain_of_strongly_bound_states/dutyprer(dimensionless),mean_strain_of_strongly_bound_states/dutypostr(dimensionless),normalised_active_and_passive_force/dSL(micrometre_per_millisecond),mean_strain_of_strongly_bound_states/dxXBprer(micrometre_per_millisecond),mean_strain_of_strongly_bound_states/dxXBpostr(micrometre_per_millisecond),calculation_of_micromolar_per_millisecondes_of_Ca_for_apparent_Ca_binding/FrSBXB(dimensionless),calculation_of_micromolar_per_millisecondes_of_Ca_for_apparent_Ca_binding/dFrSBXB(first_order_rate_constant),calculation_of_micromolar_per_millisecondes_of_Ca_for_apparent_Ca_binding/TropTot(micromolar),calculation_of_micromolar_per_millisecondes_of_Ca_for_apparent_Ca_binding/dsovr_ze(micrometre_per_millisecond),calculation_of_micromolar_per_millisecondes_of_Ca_for_apparent_Ca_binding/dsovr_cle(micrometre_per_millisecond),calculation_of_micromolar_per_millisecondes_of_Ca_for_apparent_Ca_binding/dlen_sovr(micrometre_per_millisecond),calculation_of_micromolar_per_millisecondes_of_Ca_for_apparent_Ca_binding/dSOVFThin(first_order_rate_constant),calculation_of_micromolar_per_millisecondes_of_Ca_for_apparent_Ca_binding/dSOVFThick(first_order_rate_constant),equation_for_simulated_calcium_transient/Cai(micromolar),calculation_of_micromolar_per_millisecondes_of_Ca_for_apparent_Ca_binding/dforce(millinewton_micrometre_per_millimetre2_per_millisecond),Ca_binding_to_troponin_to_thin_filament_regulation/dTRPNCaL(first_order_rate_constant),Ca_binding_to_troponin_to_thin_filament_regulation/dTRPNCaH(first_order_rate_constant),calculation_of_micromolar_per_millisecondes_of_Ca_for_apparent_Ca_binding/dTropTot(micromolar_per_millisecond)
0,1.8999981152,0.0147730085,0.1306609656,0.0070000539,3.41212828972468e-8,1.81017564383744E-006,3.0494964880038e-7,0.9999999593,4.07437173988636e-8,0.9999978345,-4.5113452510363E-006,2.2863439175205895e-8,0.0002820282,0.0002433846,-6.578049038835839e-10,-4.12294867276244e-10,-2.224142396432694e-8,-3.6644293436329354e-9,1.3235815359110038e-11,-1.3235815359110038e-11,2.604348921130063e-8,5.6120019109248687e-8,0.825,0.2500009424,0.5749990576,0.7419342678,0.4791658813,1.12815594741062E-006,0.0703025636,1.89086995042787E-006,4.0738842239313064e-7,0.0012973804,1.1056628291758649e-7,0,100,0.0012973804,2.7140261441,1.8848390699322E-006,2.5483943929,0.0542054145,0.9999999999,1,0.1846655879,0.0369331176,1.0000000001,0.0064632956,-2.224142396432694e-8,5.033464139589997e-8,-3.6644293436329354e-9,0.1423447994,0.6057225506,2.2863439175205895e-8,-4.12294867276244e-10,-6.578049038835839e-10,2.41124283360711E-006,-2.9532672771074254e-8,1.0341199681,0,-1.1431719587602948e-8,1.1431719587602948e-8,9.526432989669124e-9,1.4750605919487676e-8,0.1,-1.3861619408583137e-8,0.0002820282,0.0002433846,0.0197418573
3.4322590648825E-005,1.8999981152,0.0147730182,0.130660974,0.0070000539,3.412126874623694e-8,1.81017488045449E-006,3.0494952302772773e-7,0.9999999593,4.074371694827972e-8,0.9999978345,-4.51134332485231E-006,2.286343061654769e-8,0.0002820265,0.0002433844,-6.578040453144896e-10,-4.122943401442168e-10,-2.2241414062125797e-8,-3.6644277105734507e-9,1.3127910058338496e-11,-1.3127910058338496e-11,2.6043369813935233e-8,5.6120005947467994e-8,0.825,0.2500009424,0.5749990576,0.7419342678,0.4791658813,1.12815547164414E-006,0.0703025727,1.89086915300927E-006,4.0738881547117403e-7,0.0012973804,1.1056638959999513e-7,0,100,0.0012973804,2.7140261441,1.88483828522656E-006,2.5483943929,0.0542054145,0.9999999999,1,0.1846655879,0.0369331176,1.0000000001,0.0064632956,-2.2241414062125797e-8,5.0334636710945494e-8,-3.6644277105734507e-9,0.1423447994,0.6057225506,2.286343061654769e-8,-4.122943401442168e-10,-6.578040453144896e-10,2.41124181996973E-006,-2.953265962087714e-8,1.0341206457,0,-1.1431715308273846e-8,1.1431715308273846e-8,9.526429423561538e-9,1.4750600397772706e-8,0.1,-1.3861613237009418e-8,0.0002820265,0.0002433844,0.0197417349
0.7557753544,1.8999981324,0.0149692163,0.1308431189,0.0070000535,3.381495923744554e-8,1.79346956592676E-006,3.0220615232308745e-7,0.9999999588,4.12286556718982e-8,0.9999978536,-4.46907591951002E-006,2.2677346024143552e-8,0.0002465728,0.0002396091,-6.397395249638799e-10,-4.012060633413646e-10,-2.2023069494707095e-8,-3.6082303885287343e-9,-9.252265397933211e-10,9.252265397933211e-10,2.483910001877002e-8,5.5812746222209594e-8,0.825,0.2500009338,0.5749990662,0.7419342789,0.4791658885,1.11774414747695E-006,0.0704920378,1.87341903003904E-006,4.1569562922648594e-7,0.001297381,1.1282088057059814e-7,0,100,0.001297381,2.7140261441,1.86764774023906E-006,2.5483943264,0.0542054131,0.9999999999,1,0.1846655879,0.0369331176,1.0000000001,0.0064632956,-2.2023069494707095e-8,5.072159630095397e-8,-3.6082303885287343e-9,0.1423448,0.6057225532,2.2677346024143552e-8,-4.012060633413646e-10,-6.397395249638799e-10,2.38907031880482E-006,-2.9219681866888843e-8,1.0478544294,0,-1.1338673012071776e-8,1.1338673012071776e-8,9.448894176726481e-9,1.46305458220281e-8,0.1,-1.3725529546317443e-8,0.0002465728,0.0002396091,0.0172599841
1.5391771033,1.89999815,0.0151490949,0.1310292607,0.007000053,3.350501625107985e-8,1.77630910317405E-006,2.994063465964409e-7,0.999999958,4.200006139316543e-8,0.9999978729,-4.42549202340732E-006,2.2487720927396362e-8,0.0002140682,0.000235751,-6.222914757894285e-10,-3.9051310232392783e-10,-2.179539473338509e-8,-3.5425238773948275e-9,-1.04542954734356e-9,1.04542954734356e-9,2.4430253334421094e-8,5.5466668495620514e-8,0.825,0.250000925,0.574999075,0.7419342903,0.4791658959,0.000001107,0.0706749184,1.85549347067299E-006,4.2385258264273037e-7,0.0012973815,1.1503469905338195e-7,0,100,0.0012973815,2.7140261441,0.00000185,2.5483942579,0.0542054116,0.9999999999,1,0.1846655879,0.0369331176,1.0000000001,0.0064632956,-2.179539473338509e-8,5.1386648577715754e-8,-3.5425238773948275e-9,0.1423448007,0.605722556,2.2487720927396362e-8,-3.9051310232392783e-10,-6.222914757894285e-10,2.36631561273836E-006,-2.8885227216289105e-8,1.0604458421,0,-1.1243860463698181e-8,1.1243860463698181e-8,9.369883719748485e-9,1.4508207049933138e-8,0.1,-1.3583631132610467e-8,0.0002140682,0.000235751,0.014984663
2.1474762288,1.8999981637,0.0152727017,0.1311717623,0.0070000526,3.326975788433365e-8,1.76310579071818E-006,2.9726598510525883e-7,0.9999999574,4.261275971797761e-8,0.9999978877,-4.39184389870671E-006,2.2342597156011347e-8,0.0001917321,0.0002327974,-6.097803745693425e-10,-3.828757291147418e-10,-2.161766944390212e-8,-3.4944539101602947e-9,-1.0119178879265062e-9,1.0119178879265062e-9,2.423759551158746e-8,5.517428389579908e-8,0.825,0.2500009182,0.5749990818,0.7419342991,0.4791659015,1.09882040963913E-006,0.0708075796,1.84170149372731E-006,4.2985609058986227e-7,0.001297382,1.1666406680586072e-7,0,100,0.001297382,2.7140261441,1.83632458550242E-006,2.5483942051,0.0542054105,0.9999999999,1,0.1846655879,0.0369331176,1.0000000001,0.0064632956,-2.161766944390212e-8,5.191601274586793e-8,-3.4944539101602947e-9,0.1423448012,0.6057225581,2.2342597156011347e-8,-3.828757291147418e-10,-6.097803745693425e-10,2.34882382443873E-006,-2.8627820623631153e-8,1.0690982501,0,-1.1171298578005673e-8,1.1171298578005673e-8,9.309415481671394e-9,1.4414578810329903e-8,0.1,-1.3472864035255103e-8,0.0001917321,0.0002327974,0.0134211356
3.1474762288,1.8999981859,0.0154482724,0.1314021659,0.007000052,3.28925803080088e-8,1.74163473524828E-006,2.9380768601236724e-7,0.9999999564,4.357473262020769e-8,0.9999979118,-4.33693106732706E-006,2.2107368248277846e-8,0.0001600059,0.0002280219,-5.91291861577744e-10,-3.7166391761470065e-10,-2.132453148462527e-8,-3.4232075654937938e-9,-9.185683327177357e-10,9.185683327177357e-10,2.3962972787178163e-8,5.464501815996038e-8,0.825,0.250000907,0.574999093,0.7419343135,0.4791659108,1.08543892238069E-006,0.0710094254,1.81927316526163E-006,4.3913186812339e-7,0.0012973827,1.1918153707913943e-7,0,100,0.0012973827,2.7140261441,1.81409982658032E-006,2.5483941191,0.0542054087,0.9999999999,1,0.1846655879,0.0369331176,1.0000000001,0.0064632956,-2.132453148462527e-8,5.274240312856829e-8,-3.4232075654937938e-9,0.142344802,0.6057225615,2.2107368248277846e-8,-3.7166391761470065e-10,-5.91291861577744e-10,2.32040436023714E-006,-2.821242251713573e-8,1.0813880946,0,-1.1053684124138923e-8,1.1053684124138923e-8,9.211403436782436e-9,1.4262818224695386e-8,0.1,-1.3290166642620526e-8,0.0001600059,0.0002280219,0.0112003056
4.1474762288,1.8999982079,0.0155946266,0.1316278416,0.0070000514,3.252578309124222e-8,1.72045660315282E-006,2.9041647405672103e-7,0.9999999555,4.446076442285885e-8,0.9999979356,-4.28257746520463E-006,2.187498089564922e-8,0.0001335592,0.0002233444,-5.755427540823947e-10,-3.62224032568275e-10,-2.1031716663499967e-8,-3.360517199238793e-9,-8.542842993338601e-10,8.542842993338601e-10,2.3668488204777303e-8,5.4051240306902254e-8,0.825,0.2500008961,0.5749991039,0.7419343277,0.47916592,1.07223999847456E-006,0.0711937888,1.79715082601468E-006,4.477553283588747e-7,0.0012973834,1.2152196673230485e-7,0,100,0.0012973834,2.7140261441,1.79210883666236E-006,2.548394034,0.0542054068,0.9999999999,1,0.1846655879,0.0369331176,1.0000000001,0.0064632956,-2.1031716663499967e-8,5.349624372147283e-8,-3.360517199238793e-9,0.1423448028,0.6057225649,2.187498089564922e-8,-3.62224032568275e-10,-5.755427540823947e-10,2.29239530801888E-006,-2.7807146603522184e-8,1.0916327826,0,-1.093749044782461e-8,1.093749044782461e-8,9.114575373187175e-9,1.4112890900418853e-8,0.1,-1.3107671274183308e-8,0.0001335592,0.0002233444,0.0093490421
4.7767218112,1.8999982216,0.0156740522,0.1317674676,0.007000051,3.229946634366735e-8,1.70728022488042E-006,2.88313433098371e-7,0.999999955,4.498700281529809e-8,0.9999979505,-4.24869277288524E-006,2.172953852951274e-8,0.0001192067,0.0002204504,-5.670936445858633e-10,-3.57224552601052e-10,-2.0848268402845695e-8,-3.324278230879648e-9,-8.190181395673274e-10,8.190181395673274e-10,2.348232206696317e-8,5.3643769524309645e-8,0.825,0.2500008892,0.5749991108,0.7419343365,0.4791659257,0.000001064,0.071302061,1.78338699393729E-006,4.5288777236640696e-7,0.0012973839,1.2291492545425859e-7,0,100,0.0012973839,2.7140261441,1.77838989978696E-006,2.5483939809,0.0542054057,0.9999999999,1,0.1846655879,0.0369331176,1.0000000001,0.0064632956,-2.0848268402845695e-8,5.3940893650361455e-8,-3.324278230879648e-9,0.1423448033,0.605722567,2.172953852951274e-8,-3.57224552601052e-10,-5.670936445858633e-10,0.000002275,-2.7556703162446888e-8,1.0971925104,0,-1.086476926475637e-8,1.086476926475637e-8,9.053974387296975e-9,1.4019057115814672e-8,0.1,-1.2993338373580307e-8,0.0001192067,0.0002204504,0.0083443718
5.3347778185,1.8999982337,0.0158960182,0.132032629,0.0070000507,3.2101207918058546e-8,1.69569096366309E-006,2.8646788525641535e-7,0.9999999544,4.563021806547373e-8,0.9999979633,-4.21886247182803E-006,2.160072338751774e-8,0.0010283576,0.0010521906,-5.605607154161831e-10,-3.534054594299377e-10,-2.068614521194667e-8,-3.2850979643097282e-9,-2.2456337854265713e-9,2.2456337854265713e-9,2.1859638769650104e-8,5.326070515957598e-8,0.825,0.2500008831,0.5749991169,0.7419343443,0.4791659307,1.05680522322634E-006,0.0715447254,1.77128104021472E-006,4.645763807530061e-7,0.0012973843,1.2608724432918836e-7,0,100,0.0012973843,2.7140261441,1.76629954706797E-006,2.5483939341,0.0542054047,0.9999999999,1,0.1846655879,0.0369331176,1.0000000001,0.0064632956,-2.068614521194667e-8,5.451186482585216e-8,-3.2850979643097282e-9,0.1423448037,0.6057225688,2.160072338751774e-8,-3.534054594299377e-10,-5.605607154161831e-10,2.25966108776824E-006,-2.7327217220932292e-8,1.1127300771,0,-1.080036169375887e-8,1.080036169375887e-8,9.000301411465725e-9,1.393595057259209e-8,0.1326808397,-1.2892296349397644e-8,0.0010283576,0.0010521906,0.0719849268
5.9203708574,1.8999982463,0.0169264465,0.1330624598,0.0070000504,3.1895278665276185e-8,1.68362791706104E-006,2.8457772929240694e-7,0.9999999514,4.860446464161417e-8,0.9999979744,-4.18779649184849E-006,2.146546460050158e-8,0.0024552839,0.0024532889,-5.546799168434879e-10,-3.5001943153360996e-10,-2.0511699019822237e-8,-3.1461066901987963e-9,-8.443796133029139e-9,8.443796133029139e-9,1.540890400418826e-8,5.283613785183293e-8,0.825,0.2500008768,0.5749991232,0.7419343525,0.479165936,1.04928713028441E-006,0.072574868,1.7586801794374E-006,5.171563693942446e-7,0.0012973847,1.4035759071203317e-7,0,100,0.0012973847,2.7140261441,1.75368990729119E-006,2.5483938853,0.0542054037,0.9999999999,1,0.1846655879,0.0369331176,1.0000000001,0.0064632956,-2.0511699019822237e-8,5.739303976384894e-8,-3.1461066901987963e-9,0.1423448041,0.6057225708,2.146546460050158e-8,-3.5001943153360996e-10,-5.546799168434879e-10,2.24375443684292E-006,-2.6969898509423978e-8,1.1848599965,0,-1.073273230025079e-8,1.073273230025079e-8,8.943943583542324e-9,1.3848686839033278e-8,0.1883095464,-1.2783574084471646e-8,0.0024552839,0.0024532889,0.1718697674
